participant_id,scenario,acceptance,acceptance_score
PT022,入院導入,あまり受けたくない,2
PT022,外来導入_週2回,前向きに考えたい,4
PT022,外来導入_週1回,受けたい,5
PT022,外来導入_週1回_訪問看護,受けたい,5
PT023,入院導入,あまり受けたくない,2
PT023,外来導入_週2回,前向きに考えたい,4
PT023,外来導入_週1回,前向きに考えたい,4
PT023,外来導入_週1回_訪問看護,受けたい,5
PT024,入院導入,受けたくない,1
PT024,外来導入_週2回,迷う,3
PT024,外来導入_週1回,迷う,3
PT024,外来導入_週1回_訪問看護,前向きに考えたい,4
PT025,入院導入,迷う,3
PT025,外来導入_週2回,迷う,3
PT025,外来導入_週1回,迷う,3
PT025,外来導入_週1回_訪問看護,前向きに考えたい,4
PT026,入院導入,迷う,3
PT026,外来導入_週2回,受けたい,5
PT026,外来導入_週1回,受けたい,5
PT026,外来導入_週1回_訪問看護,受けたい,5
PT027,入院導入,あまり受けたくない,2
PT027,外来導入_週2回,迷う,3
PT027,外来導入_週1回,受けたい,5
PT027,外来導入_週1回_訪問看護,受けたい,5
PT028,入院導入,前向きに考えたい,4
PT028,外来導入_週2回,受けたい,5
PT028,外来導入_週1回,前向きに考えたい,4
PT028,外来導入_週1回_訪問看護,受けたい,5
PT029,入院導入,受けたくない,1
PT029,外来導入_週2回,迷う,3
PT029,外来導入_週1回,迷う,3
PT029,外来導入_週1回_訪問看護,前向きに考えたい,4
PT030,入院導入,あまり受けたくない,2
PT030,外来導入_週2回,迷う,3
PT030,外来導入_週1回,前向きに考えたい,4
PT030,外来導入_週1回_訪問看護,前向きに考えたい,4
PT031,入院導入,受けたくない,1
PT031,外来導入_週2回,あまり受けたくない,2
PT031,外来導入_週1回,前向きに考えたい,4
PT031,外来導入_週1回_訪問看護,前向きに考えたい,4
PT032,入院導入,あまり受けたくない,2
PT032,外来導入_週2回,前向きに考えたい,4
PT032,外来導入_週1回,前向きに考えたい,4
PT032,外来導入_週1回_訪問看護,受けたい,5
PT033,入院導入,受けたくない,1
PT033,外来導入_週2回,あまり受けたくない,2
PT033,外来導入_週1回,迷う,3
PT033,外来導入_週1回_訪問看護,前向きに考えたい,4
PT034,入院導入,受けたくない,1
PT034,外来導入_週2回,迷う,3
PT034,外来導入_週1回,前向きに考えたい,4
PT034,外来導入_週1回_訪問看護,前向きに考えたい,4
PT035,入院導入,受けたくない,1
PT035,外来導入_週2回,受けたい,5
PT035,外来導入_週1回,受けたい,5
PT035,外来導入_週1回_訪問看護,受けたい,5
PT036,入院導入,迷う,3
PT036,外来導入_週2回,前向きに考えたい,4
PT036,外来導入_週1回,受けたい,5
PT036,外来導入_週1回_訪問看護,前向きに考えたい,4
PT037,入院導入,あまり受けたくない,2
PT037,外来導入_週2回,前向きに考えたい,4
PT037,外来導入_週1回,前向きに考えたい,4
PT037,外来導入_週1回_訪問看護,受けたい,5
PT038,入院導入,あまり受けたくない,2
PT038,外来導入_週2回,前向きに考えたい,4
PT038,外来導入_週1回,前向きに考えたい,4
PT038,外来導入_週1回_訪問看護,迷う,3
PT039,入院導入,あまり受けたくない,2
PT039,外来導入_週2回,前向きに考えたい,4
PT039,外来導入_週1回,前向きに考えたい,4
PT039,外来導入_週1回_訪問看護,受けたい,5
PT040,入院導入,あまり受けたくない,2
PT040,外来導入_週2回,受けたい,5
PT040,外来導入_週1回,前向きに考えたい,4
PT040,外来導入_週1回_訪問看護,前向きに考えたい,4
PT041,入院導入,受けたくない,1
PT041,外来導入_週2回,前向きに考えたい,4
PT041,外来導入_週1回,迷う,3
PT041,外来導入_週1回_訪問看護,受けたい,5
PT042,入院導入,受けたくない,1
PT042,外来導入_週2回,迷う,3
PT042,外来導入_週1回,あまり受けたくない,2
PT042,外来導入_週1回_訪問看護,前向きに考えたい,4
PT043,入院導入,受けたくない,1
PT043,外来導入_週2回,あまり受けたくない,2
PT043,外来導入_週1回,迷う,3
PT043,外来導入_週1回_訪問看護,前向きに考えたい,4
PT044,入院導入,あまり受けたくない,2
PT044,外来導入_週2回,前向きに考えたい,4
PT044,外来導入_週1回,前向きに考えたい,4
PT044,外来導入_週1回_訪問看護,前向きに考えたい,4
PT045,入院導入,受けたくない,1
PT045,外来導入_週2回,あまり受けたくない,2
PT045,外来導入_週1回,迷う,3
PT045,外来導入_週1回_訪問看護,あまり受けたくない,2
PT046,入院導入,あまり受けたくない,2
PT046,外来導入_週2回,受けたい,5
PT046,外来導入_週1回,受けたい,5
PT046,外来導入_週1回_訪問看護,前向きに考えたい,4
PT047,入院導入,迷う,3
PT047,外来導入_週2回,前向きに考えたい,4
PT047,外来導入_週1回,前向きに考えたい,4
PT047,外来導入_週1回_訪問看護,受けたい,5
PT048,入院導入,あまり受けたくない,2
PT048,外来導入_週2回,あまり受けたくない,2
PT048,外来導入_週1回,あまり受けたくない,2
PT048,外来導入_週1回_訪問看護,前向きに考えたい,4
PT049,入院導入,受けたくない,1
PT049,外来導入_週2回,前向きに考えたい,4
PT049,外来導入_週1回,前向きに考えたい,4
PT049,外来導入_週1回_訪問看護,受けたい,5
PT050,入院導入,受けたくない,1
PT050,外来導入_週2回,前向きに考えたい,4
PT050,外来導入_週1回,迷う,3
PT050,外来導入_週1回_訪問看護,前向きに考えたい,4
PT051,入院導入,あまり受けたくない,2
PT051,外来導入_週2回,前向きに考えたい,4
PT051,外来導入_週1回,受けたい,5
PT051,外来導入_週1回_訪問看護,前向きに考えたい,4
PT052,入院導入,受けたくない,1
PT052,外来導入_週2回,前向きに考えたい,4
PT052,外来導入_週1回,前向きに考えたい,4
PT052,外来導入_週1回_訪問看護,前向きに考えたい,4
PT053,入院導入,あまり受けたくない,2
PT053,外来導入_週2回,迷う,3
PT053,外来導入_週1回,受けたい,5
PT053,外来導入_週1回_訪問看護,前向きに考えたい,4
PT054,入院導入,受けたくない,1
PT054,外来導入_週2回,迷う,3
PT054,外来導入_週1回,前向きに考えたい,4
PT054,外来導入_週1回_訪問看護,受けたい,5
PT055,入院導入,受けたくない,1
PT055,外来導入_週2回,前向きに考えたい,4
PT055,外来導入_週1回,前向きに考えたい,4
PT055,外来導入_週1回_訪問看護,受けたい,5
PT056,入院導入,あまり受けたくない,2
PT056,外来導入_週2回,前向きに考えたい,4
PT056,外来導入_週1回,前向きに考えたい,4
PT056,外来導入_週1回_訪問看護,受けたい,5
PT057,入院導入,あまり受けたくない,2
PT057,外来導入_週2回,迷う,3
PT057,外来導入_週1回,前向きに考えたい,4
PT057,外来導入_週1回_訪問看護,受けたい,5
PT058,入院導入,あまり受けたくない,2
PT058,外来導入_週2回,迷う,3
PT058,外来導入_週1回,受けたい,5
PT058,外来導入_週1回_訪問看護,前向きに考えたい,4
PT059,入院導入,あまり受けたくない,2
PT059,外来導入_週2回,前向きに考えたい,4
PT059,外来導入_週1回,受けたい,5
PT059,外来導入_週1回_訪問看護,受けたい,5
PT060,入院導入,あまり受けたくない,2
PT060,外来導入_週2回,受けたい,5
PT060,外来導入_週1回,受けたい,5
PT060,外来導入_週1回_訪問看護,前向きに考えたい,4
PT061,入院導入,受けたくない,1
PT061,外来導入_週2回,迷う,3
PT061,外来導入_週1回,前向きに考えたい,4
PT061,外来導入_週1回_訪問看護,前向きに考えたい,4
PT062,入院導入,あまり受けたくない,2
PT062,外来導入_週2回,前向きに考えたい,4
PT062,外来導入_週1回,前向きに考えたい,4
PT062,外来導入_週1回_訪問看護,前向きに考えたい,4
PT063,入院導入,あまり受けたくない,2
PT063,外来導入_週2回,前向きに考えたい,4
PT063,外来導入_週1回,前向きに考えたい,4
PT063,外来導入_週1回_訪問看護,前向きに考えたい,4
PT064,入院導入,受けたくない,1
PT064,外来導入_週2回,前向きに考えたい,4
PT064,外来導入_週1回,前向きに考えたい,4
PT064,外来導入_週1回_訪問看護,迷う,3
PT065,入院導入,受けたくない,1
PT065,外来導入_週2回,迷う,3
PT065,外来導入_週1回,迷う,3
PT065,外来導入_週1回_訪問看護,受けたい,5
PT066,入院導入,受けたくない,1
PT066,外来導入_週2回,受けたい,5
PT066,外来導入_週1回,あまり受けたくない,2
PT066,外来導入_週1回_訪問看護,前向きに考えたい,4
PT067,入院導入,あまり受けたくない,2
PT067,外来導入_週2回,前向きに考えたい,4
PT067,外来導入_週1回,前向きに考えたい,4
PT067,外来導入_週1回_訪問看護,前向きに考えたい,4
PT068,入院導入,あまり受けたくない,2
PT068,外来導入_週2回,迷う,3
PT068,外来導入_週1回,迷う,3
PT068,外来導入_週1回_訪問看護,前向きに考えたい,4
PT069,入院導入,あまり受けたくない,2
PT069,外来導入_週2回,前向きに考えたい,4
PT069,外来導入_週1回,受けたい,5
PT069,外来導入_週1回_訪問看護,受けたい,5
PT070,入院導入,受けたくない,1
PT070,外来導入_週2回,前向きに考えたい,4
PT070,外来導入_週1回,あまり受けたくない,2
PT070,外来導入_週1回_訪問看護,あまり受けたくない,2
PT071,入院導入,迷う,3
PT071,外来導入_週2回,前向きに考えたい,4
PT071,外来導入_週1回,前向きに考えたい,4
PT071,外来導入_週1回_訪問看護,受けたい,5
PT072,入院導入,あまり受けたくない,2
PT072,外来導入_週2回,受けたい,5
PT072,外来導入_週1回,受けたい,5
PT072,外来導入_週1回_訪問看護,受けたい,5
PT073,入院導入,あまり受けたくない,2
PT073,外来導入_週2回,受けたい,5
PT073,外来導入_週1回,前向きに考えたい,4
PT073,外来導入_週1回_訪問看護,受けたい,5
PT074,入院導入,あまり受けたくない,2
PT074,外来導入_週2回,前向きに考えたい,4
PT074,外来導入_週1回,前向きに考えたい,4
PT074,外来導入_週1回_訪問看護,受けたい,5
PT075,入院導入,迷う,3
PT075,外来導入_週2回,前向きに考えたい,4
PT075,外来導入_週1回,前向きに考えたい,4
PT075,外来導入_週1回_訪問看護,前向きに考えたい,4
PT076,入院導入,あまり受けたくない,2
PT076,外来導入_週2回,前向きに考えたい,4
PT076,外来導入_週1回,前向きに考えたい,4
PT076,外来導入_週1回_訪問看護,受けたい,5
PT077,入院導入,受けたくない,1
PT077,外来導入_週2回,あまり受けたくない,2
PT077,外来導入_週1回,迷う,3
PT077,外来導入_週1回_訪問看護,前向きに考えたい,4
PT078,入院導入,あまり受けたくない,2
PT078,外来導入_週2回,あまり受けたくない,2
PT078,外来導入_週1回,迷う,3
PT078,外来導入_週1回_訪問看護,迷う,3
PT079,入院導入,受けたくない,1
PT079,外来導入_週2回,前向きに考えたい,4
PT079,外来導入_週1回,前向きに考えたい,4
PT079,外来導入_週1回_訪問看護,前向きに考えたい,4
PT080,入院導入,あまり受けたくない,2
PT080,外来導入_週2回,前向きに考えたい,4
PT080,外来導入_週1回,受けたい,5
PT080,外来導入_週1回_訪問看護,受けたい,5
PT081,入院導入,迷う,3
PT081,外来導入_週2回,前向きに考えたい,4
PT081,外来導入_週1回,受けたい,5
PT081,外来導入_週1回_訪問看護,受けたい,5
PT082,入院導入,受けたくない,1
PT082,外来導入_週2回,受けたくない,1
PT082,外来導入_週1回,あまり受けたくない,2
PT082,外来導入_週1回_訪問看護,前向きに考えたい,4
PT083,入院導入,受けたくない,1
PT083,外来導入_週2回,迷う,3
PT083,外来導入_週1回,前向きに考えたい,4
PT083,外来導入_週1回_訪問看護,前向きに考えたい,4
PT084,入院導入,あまり受けたくない,2
PT084,外来導入_週2回,前向きに考えたい,4
PT084,外来導入_週1回,前向きに考えたい,4
PT084,外来導入_週1回_訪問看護,前向きに考えたい,4
PT085,入院導入,受けたくない,1
PT085,外来導入_週2回,受けたい,5
PT085,外来導入_週1回,前向きに考えたい,4
PT085,外来導入_週1回_訪問看護,受けたい,5
PT086,入院導入,受けたくない,1
PT086,外来導入_週2回,迷う,3
PT086,外来導入_週1回,あまり受けたくない,2
PT086,外来導入_週1回_訪問看護,前向きに考えたい,4
PT087,入院導入,受けたくない,1
PT087,外来導入_週2回,迷う,3
PT087,外来導入_週1回,前向きに考えたい,4
PT087,外来導入_週1回_訪問看護,迷う,3
PT088,入院導入,あまり受けたくない,2
PT088,外来導入_週2回,前向きに考えたい,4
PT088,外来導入_週1回,受けたい,5
PT088,外来導入_週1回_訪問看護,前向きに考えたい,4
PT089,入院導入,あまり受けたくない,2
PT089,外来導入_週2回,前向きに考えたい,4
PT089,外来導入_週1回,前向きに考えたい,4
PT089,外来導入_週1回_訪問看護,受けたい,5
PT090,入院導入,あまり受けたくない,2
PT090,外来導入_週2回,迷う,3
PT090,外来導入_週1回,前向きに考えたい,4
PT090,外来導入_週1回_訪問看護,前向きに考えたい,4
PT091,入院導入,受けたくない,1
PT091,外来導入_週2回,あまり受けたくない,2
PT091,外来導入_週1回,前向きに考えたい,4
PT091,外来導入_週1回_訪問看護,前向きに考えたい,4
PT092,入院導入,迷う,3
PT092,外来導入_週2回,あまり受けたくない,2
PT092,外来導入_週1回,あまり受けたくない,2
PT092,外来導入_週1回_訪問看護,受けたい,5
PT093,入院導入,受けたくない,1
PT093,外来導入_週2回,迷う,3
PT093,外来導入_週1回,前向きに考えたい,4
PT093,外来導入_週1回_訪問看護,前向きに考えたい,4
PT094,入院導入,受けたくない,1
PT094,外来導入_週2回,前向きに考えたい,4
PT094,外来導入_週1回,受けたい,5
PT094,外来導入_週1回_訪問看護,前向きに考えたい,4
PT095,入院導入,受けたくない,1
PT095,外来導入_週2回,迷う,3
PT095,外来導入_週1回,前向きに考えたい,4
PT095,外来導入_週1回_訪問看護,前向きに考えたい,4
PT096,入院導入,あまり受けたくない,2
PT096,外来導入_週2回,迷う,3
PT096,外来導入_週1回,受けたい,5
PT096,外来導入_週1回_訪問看護,前向きに考えたい,4
PT097,入院導入,あまり受けたくない,2
PT097,外来導入_週2回,前向きに考えたい,4
PT097,外来導入_週1回,受けたい,5
PT097,外来導入_週1回_訪問看護,受けたい,5
PT098,入院導入,あまり受けたくない,2
PT098,外来導入_週2回,前向きに考えたい,4
PT098,外来導入_週1回,受けたい,5
PT098,外来導入_週1回_訪問看護,前向きに考えたい,4
PT099,入院導入,あまり受けたくない,2
PT099,外来導入_週2回,前向きに考えたい,4
PT099,外来導入_週1回,受けたい,5
PT099,外来導入_週1回_訪問看護,受けたい,5
PT100,入院導入,受けたくない,1
PT100,外来導入_週2回,迷う,3
PT100,外来導入_週1回,迷う,3
PT100,外来導入_週1回_訪問看護,迷う,3
PT101,入院導入,あまり受けたくない,2
PT101,外来導入_週2回,前向きに考えたい,4
PT101,外来導入_週1回,受けたい,5
PT101,外来導入_週1回_訪問看護,受けたい,5
PT102,入院導入,あまり受けたくない,2
PT102,外来導入_週2回,前向きに考えたい,4
PT102,外来導入_週1回,受けたい,5
PT102,外来導入_週1回_訪問看護,受けたい,5
PT103,入院導入,受けたくない,1
PT103,外来導入_週2回,あまり受けたくない,2
PT103,外来導入_週1回,前向きに考えたい,4
PT103,外来導入_週1回_訪問看護,迷う,3
PT104,入院導入,受けたくない,1
PT104,外来導入_週2回,迷う,3
PT104,外来導入_週1回,迷う,3
PT104,外来導入_週1回_訪問看護,前向きに考えたい,4
PT105,入院導入,あまり受けたくない,2
PT105,外来導入_週2回,前向きに考えたい,4
PT105,外来導入_週1回,受けたい,5
PT105,外来導入_週1回_訪問看護,受けたい,5
PT106,入院導入,受けたくない,1
PT106,外来導入_週2回,あまり受けたくない,2
PT106,外来導入_週1回,迷う,3
PT106,外来導入_週1回_訪問看護,前向きに考えたい,4
PT107,入院導入,受けたくない,1
PT107,外来導入_週2回,迷う,3
PT107,外来導入_週1回,あまり受けたくない,2
PT107,外来導入_週1回_訪問看護,受けたい,5
PT108,入院導入,迷う,3
PT108,外来導入_週2回,前向きに考えたい,4
PT108,外来導入_週1回,受けたい,5
PT108,外来導入_週1回_訪問看護,受けたい,5
PT109,入院導入,あまり受けたくない,2
PT109,外来導入_週2回,受けたい,5
PT109,外来導入_週1回,受けたい,5
PT109,外来導入_週1回_訪問看護,受けたい,5
PT110,入院導入,受けたくない,1
PT110,外来導入_週2回,前向きに考えたい,4
PT110,外来導入_週1回,前向きに考えたい,4
PT110,外来導入_週1回_訪問看護,前向きに考えたい,4
PT111,入院導入,迷う,3
PT111,外来導入_週2回,前向きに考えたい,4
PT111,外来導入_週1回,前向きに考えたい,4
PT111,外来導入_週1回_訪問看護,受けたい,5
PT112,入院導入,受けたくない,1
PT112,外来導入_週2回,迷う,3
PT112,外来導入_週1回,前向きに考えたい,4
PT112,外来導入_週1回_訪問看護,前向きに考えたい,4
PT113,入院導入,受けたくない,1
PT113,外来導入_週2回,迷う,3
PT113,外来導入_週1回,あまり受けたくない,2
PT113,外来導入_週1回_訪問看護,前向きに考えたい,4
PT114,入院導入,受けたくない,1
PT114,外来導入_週2回,あまり受けたくない,2
PT114,外来導入_週1回,迷う,3
PT114,外来導入_週1回_訪問看護,前向きに考えたい,4
PT115,入院導入,あまり受けたくない,2
PT115,外来導入_週2回,受けたい,5
PT115,外来導入_週1回,前向きに考えたい,4
PT115,外来導入_週1回_訪問看護,前向きに考えたい,4
PT116,入院導入,受けたくない,1
PT116,外来導入_週2回,迷う,3
PT116,外来導入_週1回,前向きに考えたい,4
PT116,外来導入_週1回_訪問看護,迷う,3
PT117,入院導入,受けたくない,1
PT117,外来導入_週2回,迷う,3
PT117,外来導入_週1回,前向きに考えたい,4
PT117,外来導入_週1回_訪問看護,迷う,3
PT118,入院導入,迷う,3
PT118,外来導入_週2回,あまり受けたくない,2
PT118,外来導入_週1回,迷う,3
PT118,外来導入_週1回_訪問看護,迷う,3
PT119,入院導入,迷う,3
PT119,外来導入_週2回,受けたい,5
PT119,外来導入_週1回,前向きに考えたい,4
PT119,外来導入_週1回_訪問看護,前向きに考えたい,4
PT120,入院導入,あまり受けたくない,2
PT120,外来導入_週2回,迷う,3
PT120,外来導入_週1回,迷う,3
PT120,外来導入_週1回_訪問看護,前向きに考えたい,4
PT121,入院導入,受けたくない,1
PT121,外来導入_週2回,あまり受けたくない,2
PT121,外来導入_週1回,あまり受けたくない,2
PT121,外来導入_週1回_訪問看護,迷う,3
PT122,入院導入,受けたくない,1
PT122,外来導入_週2回,あまり受けたくない,2
PT122,外来導入_週1回,迷う,3
PT122,外来導入_週1回_訪問看護,迷う,3
PT123,入院導入,あまり受けたくない,2
PT123,外来導入_週2回,前向きに考えたい,4
PT123,外来導入_週1回,前向きに考えたい,4
PT123,外来導入_週1回_訪問看護,受けたい,5
PT124,入院導入,迷う,3
PT124,外来導入_週2回,迷う,3
PT124,外来導入_週1回,迷う,3
PT124,外来導入_週1回_訪問看護,前向きに考えたい,4
PT125,入院導入,迷う,3
PT125,外来導入_週2回,迷う,3
PT125,外来導入_週1回,迷う,3
PT125,外来導入_週1回_訪問看護,前向きに考えたい,4
PT126,入院導入,受けたくない,1
PT126,外来導入_週2回,受けたくない,1
PT126,外来導入_週1回,迷う,3
PT126,外来導入_週1回_訪問看護,前向きに考えたい,4
PT127,入院導入,あまり受けたくない,2
PT127,外来導入_週2回,迷う,3
PT127,外来導入_週1回,迷う,3
PT127,外来導入_週1回_訪問看護,前向きに考えたい,4
PT128,入院導入,迷う,3
PT128,外来導入_週2回,前向きに考えたい,4
PT128,外来導入_週1回,受けたい,5
PT128,外来導入_週1回_訪問看護,受けたい,5
PT129,入院導入,受けたくない,1
PT129,外来導入_週2回,受けたくない,1
PT129,外来導入_週1回,迷う,3
PT129,外来導入_週1回_訪問看護,受けたい,5
PT130,入院導入,迷う,3
PT130,外来導入_週2回,受けたい,5
PT130,外来導入_週1回,受けたい,5
PT130,外来導入_週1回_訪問看護,前向きに考えたい,4
PT131,入院導入,迷う,3
PT131,外来導入_週2回,前向きに考えたい,4
PT131,外来導入_週1回,受けたい,5
PT131,外来導入_週1回_訪問看護,受けたい,5
PT132,入院導入,あまり受けたくない,2
PT132,外来導入_週2回,受けたい,5
PT132,外来導入_週1回,受けたい,5
PT132,外来導入_週1回_訪問看護,迷う,3
PT133,入院導入,受けたくない,1
PT133,外来導入_週2回,前向きに考えたい,4
PT133,外来導入_週1回,前向きに考えたい,4
PT133,外来導入_週1回_訪問看護,前向きに考えたい,4
PT134,入院導入,あまり受けたくない,2
PT134,外来導入_週2回,受けたい,5
PT134,外来導入_週1回,受けたい,5
PT134,外来導入_週1回_訪問看護,受けたい,5
PT135,入院導入,受けたくない,1
PT135,外来導入_週2回,迷う,3
PT135,外来導入_週1回,前向きに考えたい,4
PT135,外来導入_週1回_訪問看護,前向きに考えたい,4
PT136,入院導入,あまり受けたくない,2
PT136,外来導入_週2回,迷う,3
PT136,外来導入_週1回,前向きに考えたい,4
PT136,外来導入_週1回_訪問看護,前向きに考えたい,4
PT137,入院導入,迷う,3
PT137,外来導入_週2回,受けたい,5
PT137,外来導入_週1回,前向きに考えたい,4
PT137,外来導入_週1回_訪問看護,受けたい,5
PT138,入院導入,あまり受けたくない,2
PT138,外来導入_週2回,受けたい,5
PT138,外来導入_週1回,受けたい,5
PT138,外来導入_週1回_訪問看護,前向きに考えたい,4
PT139,入院導入,受けたくない,1
PT139,外来導入_週2回,受けたい,5
PT139,外来導入_週1回,前向きに考えたい,4
PT139,外来導入_週1回_訪問看護,前向きに考えたい,4
PT140,入院導入,受けたくない,1
PT140,外来導入_週2回,迷う,3
PT140,外来導入_週1回,迷う,3
PT140,外来導入_週1回_訪問看護,前向きに考えたい,4
PT141,入院導入,あまり受けたくない,2
PT141,外来導入_週2回,あまり受けたくない,2
PT141,外来導入_週1回,前向きに考えたい,4
PT141,外来導入_週1回_訪問看護,前向きに考えたい,4
PT142,入院導入,あまり受けたくない,2
PT142,外来導入_週2回,迷う,3
PT142,外来導入_週1回,受けたい,5
PT142,外来導入_週1回_訪問看護,前向きに考えたい,4
PT143,入院導入,あまり受けたくない,2
PT143,外来導入_週2回,前向きに考えたい,4
PT143,外来導入_週1回,前向きに考えたい,4
PT143,外来導入_週1回_訪問看護,前向きに考えたい,4
PT144,入院導入,受けたくない,1
PT144,外来導入_週2回,あまり受けたくない,2
PT144,外来導入_週1回,迷う,3
PT144,外来導入_週1回_訪問看護,前向きに考えたい,4
PT145,入院導入,受けたくない,1
PT145,外来導入_週2回,前向きに考えたい,4
PT145,外来導入_週1回,前向きに考えたい,4
PT145,外来導入_週1回_訪問看護,前向きに考えたい,4
PT146,入院導入,あまり受けたくない,2
PT146,外来導入_週2回,前向きに考えたい,4
PT146,外来導入_週1回,受けたい,5
PT146,外来導入_週1回_訪問看護,受けたい,5
PT147,入院導入,受けたくない,1
PT147,外来導入_週2回,迷う,3
PT147,外来導入_週1回,前向きに考えたい,4
PT147,外来導入_週1回_訪問看護,前向きに考えたい,4
PT148,入院導入,あまり受けたくない,2
PT148,外来導入_週2回,あまり受けたくない,2
PT148,外来導入_週1回,前向きに考えたい,4
PT148,外来導入_週1回_訪問看護,前向きに考えたい,4
PT149,入院導入,あまり受けたくない,2
PT149,外来導入_週2回,迷う,3
PT149,外来導入_週1回,前向きに考えたい,4
PT149,外来導入_週1回_訪問看護,迷う,3
PT150,入院導入,受けたくない,1
PT150,外来導入_週2回,迷う,3
PT150,外来導入_週1回,迷う,3
PT150,外来導入_週1回_訪問看護,前向きに考えたい,4
PT151,入院導入,あまり受けたくない,2
PT151,外来導入_週2回,前向きに考えたい,4
PT151,外来導入_週1回,前向きに考えたい,4
PT151,外来導入_週1回_訪問看護,受けたい,5
PT152,入院導入,前向きに考えたい,4
PT152,外来導入_週2回,前向きに考えたい,4
PT152,外来導入_週1回,受けたい,5
PT152,外来導入_週1回_訪問看護,受けたい,5
PT153,入院導入,前向きに考えたい,4
PT153,外来導入_週2回,迷う,3
PT153,外来導入_週1回,前向きに考えたい,4
PT153,外来導入_週1回_訪問看護,受けたい,5
PT154,入院導入,受けたくない,1
PT154,外来導入_週2回,迷う,3
PT154,外来導入_週1回,迷う,3
PT154,外来導入_週1回_訪問看護,迷う,3
PT155,入院導入,受けたくない,1
PT155,外来導入_週2回,迷う,3
PT155,外来導入_週1回,あまり受けたくない,2
PT155,外来導入_週1回_訪問看護,迷う,3
PT156,入院導入,受けたくない,1
